id_w1,ppethm,ppeducat,sex,ppincimp,ppwork,xparty7
645843,0,3,1,15,0,6
645917,0,3,0,16,4,2
645919,0,3,1,20,0,4
646014,1,2,1,5,5,5
646046,0,2,0,15,0,6
647119,0,2,1,20,1,5
647193,0,1,1,16,4,0
647730,0,1,1,15,0,0
649102,0,3,1,9,0,1
649339,0,0,1,6,3,3
649464,0,2,1,10,4,5
649734,0,2,0,15,1,2
651303,0,1,0,14,0,5
651845,0,2,1,11,0,2
652139,0,3,1,18,0,2
653733,0,2,0,13,0,1
653796,0,1,0,6,4,1
654183,0,3,1,9,4,4
654806,0,3,0,15,4,4
655082,0,3,0,16,1,5
655633,0,3,1,15,0,6
656128,0,3,1,12,0,4
656143,0,2,1,12,4,6
656156,0,1,1,8,0,2
657597,0,2,1,20,4,2
657655,0,3,0,16,4,1
658232,0,1,0,15,0,0
658377,0,3,1,12,0,2
659446,0,0,1,13,4,2
659478,0,3,1,16,4,6
659484,0,2,1,7,3,0
660062,0,3,0,15,0,4
660073,0,0,1,5,5,0
660367,0,3,1,20,0,6
660707,0,1,0,7,0,6
661167,0,2,0,14,4,1
662114,0,3,1,12,0,4
662188,0,2,1,7,4,2
662375,0,3,1,15,0,4
662411,4,3,0,18,4,0
1111689,1,3,1,12,0,6
662930,0,3,0,13,0,5
663568,0,3,0,18,4,0
664223,0,2,0,15,0,2
664421,0,1,0,11,4,0
664737,3,1,1,14,0,3
665304,0,2,1,16,0,6
665711,0,1,1,16,4,6
665897,0,2,1,20,4,1
666030,0,2,1,15,0,6
666069,1,1,0,10,0,6
667838,0,3,1,20,0,0
667994,0,1,1,5,4,6
1495715,0,2,1,20,0,6
668213,0,3,1,15,1,1
669372,1,2,1,3,5,5
669753,0,2,0,19,0,0
671153,0,3,0,19,4,6
671380,0,3,1,15,0,4
674471,0,3,1,19,0,2
675552,0,2,1,15,0,5
675661,0,2,1,17,0,1
675703,0,2,1,11,1,1
675912,0,2,0,15,4,2
677466,0,1,1,11,4,0
677537,4,1,0,13,0,5
677930,0,3,0,18,0,2
678093,0,2,0,8,0,4
678313,0,3,0,20,4,2
678889,0,3,1,10,4,4
679559,1,2,0,8,4,6
680122,0,3,0,15,0,2
680136,0,2,0,15,4,2
680636,3,2,0,4,4,6
681110,0,3,0,9,1,1
681450,0,3,1,12,0,1
681601,0,2,1,14,4,1
681801,0,1,0,10,4,5
682358,0,1,1,4,3,5
683076,0,3,0,15,0,6
683154,1,2,0,14,4,6
683858,0,2,1,15,0,5
684061,0,2,1,9,0,6
684147,0,3,0,19,0,4
684501,0,2,0,5,1,0
685336,0,3,1,10,4,0
685819,0,3,0,20,0,0
686590,0,3,1,16,4,6
686885,1,3,0,15,0,2
686953,4,3,0,11,0,6
688463,0,2,0,13,0,2
688520,0,2,1,16,0,4
688556,0,3,1,19,1,6
688740,0,2,0,14,5,4
689903,0,3,1,18,0,6
782911,0,0,0,9,5,6
987748,0,2,1,15,0,5
690525,0,3,1,5,0,1
690642,1,2,1,14,4,6
691447,0,2,1,11,4,5
691541,1,2,0,17,4,6
691971,0,3,1,9,0,6
692002,0,3,0,13,0,2
692461,0,1,1,14,4,0
692623,0,2,1,13,0,4
693544,0,2,1,12,0,6
694048,1,3,0,16,1,2
694508,0,2,0,15,4,0
695336,0,1,0,15,0,4
695422,0,2,1,5,5,4
696132,0,3,1,16,4,6
697439,0,3,0,15,4,1
1408033,2,1,0,16,0,5
698505,0,3,1,14,1,6
878166,0,2,1,11,6,2
1076518,0,2,1,12,6,1
700154,0,2,0,12,4,0
701297,0,3,1,16,5,1
701560,0,2,0,13,0,1
701598,2,3,0,17,3,2
702022,0,1,1,13,0,1
702938,0,3,1,12,0,0
703892,0,2,0,15,0,0
705544,2,2,0,14,0,1
706770,0,1,0,9,0,6
706830,0,2,1,13,0,2
707210,0,3,0,20,0,4
707600,0,1,0,15,0,5
1208033,0,2,1,1,0,2
708602,2,0,1,2,5,5
708778,0,1,1,10,0,5
709064,0,1,1,11,4,4
709074,0,3,0,20,1,0
709106,0,2,1,13,6,0
709590,0,3,0,18,4,6
710311,0,3,0,19,4,5
710617,0,1,0,12,0,5
710875,0,2,0,5,4,4
710943,0,1,1,3,5,4
711621,1,3,1,15,0,6
711853,0,2,0,15,0,6
711982,0,3,1,15,0,6
712209,0,3,1,14,0,6
713029,0,2,0,17,0,0
713086,0,3,0,12,4,6
713215,0,3,1,17,0,6
713483,0,3,0,14,0,0
713678,0,0,0,16,0,2
714273,0,3,0,13,0,6
715163,0,2,0,11,4,4
716097,0,3,0,20,1,0
716381,0,0,0,9,4,2
716849,0,1,1,14,0,1
717233,0,2,1,12,0,1
717627,0,1,1,17,4,3
717756,0,3,0,18,0,1
718717,0,1,0,13,4,5
718794,2,3,0,16,0,4
718864,0,1,1,16,4,1
719607,0,3,1,11,0,4
720169,0,2,0,15,0,3
720192,0,3,0,16,4,5
721040,0,3,0,17,0,6
721043,0,3,1,15,1,5
721276,0,2,1,11,1,0
721789,0,2,1,12,4,0
722827,4,2,1,8,0,2
723134,0,2,0,19,0,0
723171,1,2,1,12,0,6
724378,0,1,1,20,6,0
724876,0,2,1,15,6,4
725512,0,3,0,17,0,2
726364,0,2,1,18,4,3
726555,1,0,0,0,5,2
726914,0,3,1,6,4,4
726963,1,3,0,12,1,6
727265,0,3,0,7,4,0
727554,0,1,0,13,4,1
727895,0,3,1,16,0,6
728412,4,3,0,11,0,4
729033,0,3,0,18,4,0
730290,0,3,1,18,0,5
730850,0,3,1,14,0,1
730986,2,3,1,3,0,0
731874,2,0,1,6,4,2
732691,0,2,1,12,1,1
733024,3,3,1,17,4,4
733197,0,2,1,17,4,6
733618,0,1,1,7,4,0
735027,0,3,1,19,0,6
735662,0,2,1,13,0,6
736069,0,2,1,15,4,2
736071,0,1,1,10,0,1
736211,0,3,1,13,0,6
736805,0,2,1,11,0,0
737021,0,3,0,20,0,6
738092,0,3,1,7,4,0
738252,0,3,0,17,0,2
738548,0,0,0,2,5,3
738821,2,2,1,12,0,6
739276,0,1,1,15,4,0
740655,0,2,1,6,0,2
740752,0,3,0,12,0,2
741067,0,3,1,19,1,4
741152,3,3,1,3,0,2
741411,0,1,0,13,0,2
741850,3,1,0,0,1,4
741974,0,3,0,19,0,2
742626,0,2,0,13,0,1
743395,3,3,0,12,0,5
743435,0,1,1,8,0,0
743637,1,1,0,8,0,6
745446,0,3,0,11,4,6
745736,0,1,1,7,1,0
746530,0,3,0,18,0,2
746685,0,0,1,12,0,6
746855,0,2,1,18,0,5
747353,1,3,1,11,0,6
747992,0,1,0,15,0,0
748093,0,1,1,7,3,6
748398,1,2,0,13,0,6
748720,0,3,0,17,1,5
750181,0,2,1,14,0,1
750927,0,0,1,10,0,0
750999,0,1,0,14,4,2
751868,1,2,1,11,0,6
752377,0,3,0,15,0,6
753336,0,3,1,13,4,6
753615,0,1,0,19,4,5
754023,0,3,0,16,0,4
756496,0,3,1,14,0,0
756724,0,2,1,8,0,4
757787,0,3,1,14,4,4
758904,0,1,1,13,4,0
759298,4,3,1,16,1,6
